6639,3350,11,0,0
3949,6049,2,0,0
6053,3946,1,0,0
4288,5712,0,0,0
5661,4339,0,0,0
4698,5302,0,0,0
5352,4648,0,0,0
5041,4959,0,0,0
4938,5062,0,0,0
5510,4490,0,0,0
4639,5361,0,0,0
5833,4167,0,0,0
4369,5631,0,0,0
6120,3880,0,0,0
4231,5769,0,0,0
6240,3760,0,0,0
4205,5795,0,0,0
6336,3664,0,0,0
4112,5888,0,0,0
6474,3526,0,0,0
4128,5872,0,0,0
6313,3687,0,0,0
4255,5745,0,0,0
5964,4036,0,0,0
4522,5478,0,0,0
5716,4284,0,0,0
4797,5203,0,0,0
5416,4584,0,0,0
5070,4930,0,0,0
5109,4891,0,0,0
5345,4655,0,0,0
4882,5118,0,0,0
5620,4380,0,0,0
4614,5386,0,0,0
5953,4047,0,0,0
4342,5658,0,0,0
6159,3841,0,0,0
4189,5811,0,0,0
6316,3684,0,0,0
4092,5908,0,0,0
6487,3513,0,0,0
4033,5967,0,0,0
6512,3488,0,0,0
4098,5902,0,0,0
6165,3835,0,0,0
4322,5678,0,0,0
5940,4060,0,0,0
4522,5478,0,0,0
5718,4282,0,0,0
4831,5169,0,0,0
5402,4598,0,0,0
5120,4880,0,0,0
5130,4870,0,0,0
5440,4560,0,0,0
4877,5123,0,0,0
5674,4326,0,0,0
4651,5349,0,0,0
5904,4096,0,0,0
4410,5590,0,0,0
6130,3870,0,0,0
4294,5706,0,0,0
6295,3705,0,0,0
4117,5883,0,0,0
6516,3484,0,0,0
4117,5883,0,0,0
6266,3734,0,0,0
4252,5748,0,0,0
6033,3967,0,0,0
4436,5564,0,0,0
5860,4140,0,0,0
4669,5331,0,0,0
5577,4423,0,0,0
4971,5029,0,0,0
5288,4712,0,0,0
5250,4750,0,0,0
5042,4958,0,0,0
5505,4495,0,0,0
4814,5186,0,0,0
5784,4216,0,0,0
4564,5436,0,0,0
5968,4032,0,0,0
4425,5575,0,0,0
6145,3855,0,0,0
4239,5761,0,0,0
6400,3600,0,0,0
4175,5825,0,0,0
6381,3619,0,0,0
4183,5817,0,0,0
6126,3874,0,0,0
4359,5641,0,0,0
5944,4056,0,0,0
4524,5476,0,0,0
5754,4246,0,0,0
4804,5196,0,0,0
5449,4551,0,0,0
5102,4898,0,0,0
5171,4829,0,0,0
5373,4627,0,0,0
4975,5025,0,0,0
5624,4376,0,0,0
4702,5298,0,0,0
5838,4162,0,0,0
4533,5467,0,0,0
6025,3975,0,0,0
4384,5616,0,0,0
6234,3766,0,0,0
4194,5806,0,0,0
6460,3540,0,0,0
4154,5846,0,0,0
6218,3782,0,0,0
4310,5690,0,0,0
6004,3996,0,0,0
4462,5538,0,0,0
5827,4173,0,0,0
4707,5293,0,0,0
5577,4423,0,0,0
4953,5047,0,0,0
5309,4691,0,0,0
5253,4747,0,0,0
5065,4935,0,0,0
5478,4522,0,0,0
4879,5121,0,0,0
5723,4277,0,0,0
4595,5405,0,0,0
5956,4044,0,0,0
4455,5545,0,0,0
6122,3878,0,0,0
4253,5747,0,0,0
6399,3601,0,0,0
4198,5802,0,0,0
6325,3675,0,0,0
4217,5783,0,0,0
6098,3902,0,0,0
4377,5623,0,0,0
5948,4052,0,0,0
4542,5458,0,0,0
5730,4270,0,0,0
4828,5172,0,0,0
5419,4581,0,0,0
5115,4885,0,0,0
5173,4827,0,0,0
5384,4616,0,0,0
4960,5040,0,0,0
5636,4364,0,0,0
4696,5304,0,0,0
5851,4149,0,0,0
4530,5470,0,0,0
6037,3963,0,0,0
4382,5618,0,0,0
6254,3746,0,0,0
4208,5792,0,0,0
6440,3560,0,0,0
4156,5844,0,0,0
6198,3802,0,0,0
4317,5683,0,0,0
5974,4026,0,0,0
4487,5513,0,0,0
5809,4191,0,0,0
4706,5294,0,0,0
5563,4437,0,0,0
4980,5020,0,0,0
5302,4698,0,0,0
5263,4737,0,0,0
5068,4932,0,0,0
5486,4514,0,0,0
4863,5137,0,0,0
5723,4277,0,0,0
4619,5381,0,0,0
5949,4051,0,0,0
4459,5541,0,0,0
6141,3859,0,0,0
4246,5754,0,0,0
6400,3600,0,0,0
4202,5798,0,0,0
6281,3719,0,0,0
4265,5735,0,0,0
6055,3945,0,0,0
4407,5593,0,0,0
5910,4090,0,0,0
4593,5407,0,0,0
5681,4319,0,0,0
4863,5137,0,0,0
5399,4601,0,0,0
5130,4870,0,0,0
5169,4831,0,0,0
5412,4588,0,0,0
4923,5077,0,0,0
5673,4327,0,0,0
4679,5321,0,0,0
5877,4123,0,0,0
4501,5499,0,0,0
6060,3940,0,0,0
4338,5662,0,0,0
6291,3709,0,0,0
4199,5801,0,0,0
6410,3590,0,0,0
4199,5801,0,0,0
6139,3861,0,0,0
4359,5641,0,0,0
5962,4038,0,0,0
4488,5512,0,0,0
5804,4196,0,0,0
4733,5267,0,0,0
5530,4470,0,0,0
5017,4983,0,0,0
5273,4727,0,0,0
5289,4711,0,0,0
5050,4950,0,0,0
5534,4466,0,0,0
4810,5190,0,0,0
5756,4244,0,0,0
4595,5405,0,0,0
5975,4025,0,0,0
4436,5564,0,0,0
6182,3818,0,0,0
4224,5776,0,0,0
6436,3564,0,0,0
4187,5813,0,0,0
6219,3781,0,0,0
4298,5702,0,0,0
6020,3980,0,0,0
4436,5564,0,0,0
5884,4116,0,0,0
4637,5363,0,0,0
5643,4357,0,0,0
4901,5099,0,0,0
5364,4636,0,0,0
5173,4827,0,0,0
5127,4873,0,0,0
5439,4561,0,0,0
4908,5092,0,0,0
5708,4292,0,0,0
4628,5372,0,0,0
5916,4084,0,0,0
4480,5520,0,0,0
6101,3899,0,0,0
4283,5717,0,0,0
6363,3637,0,0,0
4203,5797,0,0,0
6362,3638,0,0,0
4211,5789,0,0,0
6113,3887,0,0,0
4365,5635,0,0,0
5950,4050,0,0,0
4511,5489,0,0,0
5780,4220,0,0,0
4765,5235,0,0,0
5495,4505,0,0,0
5060,4940,0,0,0
5219,4781,0,0,0
5326,4674,0,0,0
5023,4977,0,0,0
5585,4415,0,0,0
4741,5259,0,0,0
5809,4191,0,0,0
4561,5439,0,0,0
6005,3995,0,0,0
4400,5600,0,0,0
6225,3775,0,0,0
4220,5780,0,0,0
6434,3566,0,0,0
4170,5830,0,0,0
6215,3785,0,0,0
4302,5698,0,0,0
6023,3977,0,0,0
4444,5556,0,0,0
5848,4152,0,0,0
4684,5316,0,0,0
5596,4404,0,0,0
4927,5073,0,0,0
5346,4654,0,0,0
5226,4774,0,0,0
5090,4910,0,0,0
5453,4547,0,0,0
4906,5094,0,0,0
5702,4298,0,0,0
4619,5381,0,0,0
5942,4058,0,0,0
4467,5533,0,0,0
6111,3889,0,0,0
4268,5732,0,0,0
6385,3615,0,0,0
4205,5795,0,0,0
6326,3674,0,0,0
4210,5790,0,0,0
6109,3891,0,0,0
4378,5622,0,0,0
5950,4050,0,0,0
4539,5461,0,0,0
5734,4266,0,0,0
4822,5178,0,0,0
5429,4571,0,0,0
5103,4897,0,0,0
5184,4816,0,0,0
5373,4627,0,0,0
4973,5027,0,0,0
5633,4367,0,0,0
4708,5292,0,0,0
5848,4152,0,0,0
4528,5472,0,0,0
